,name,rating,price,Total Reviews
45,Dell Inspiron 15 3501 Intel Core i3 1115G4 15.6 Inch FHD Display Win 10 Black Laptop,5,"48,000",1.0
46,Dell Inspiron 15 3501 Intel Core i3 1115G4 15.6 Inch FHD Display Silver Soft Mint Laptop,5,"48,000",2.0
47,Dell Inspiron 15 3501 Intel Core i3 1115G4 15.6 Inch FHD Display Blue Laptop #BULLN315TGL21051021POPP/BULLN315TGL21051021P-2Y,0,"48,000",
48,Asus VivoBook 15 X515JA 10th Gen Intel Core i3 1005G1  15.6 Inch FHD Display Peacock Blue Laptop #BQ914T/BQ1664T-X515JA,5,"48,000",1.0
49,Acer TravelMate P214-53 11th Gen Intel Core i3 1115G4 14 Inch FHD Display Black Laptop #NX.VPLSI.00J,0,"48,000",
50,Acer Aspire 5 A515-56-32F7 Intel Core i3 1115G4 15.6 Inch FHD Display Pure Silver Laptop,5,"48,500",1.0
51,Dell Vostro 15 3500 Intel Core i3 1115G4 15.6 Inch FHD Display Silver DUNE Laptop,5,"50,000",2.0
52,Dell Latitude 14-3410 Intel Core i3 10110U 14 Inch FHD 1920x1080 Display Black Laptop,5,"50,500",1.0
53,Asus 15 M515DA AMD Ryzen 3 3250U 15.6 Inch FHD LED Display Slate Grey Laptop #BQ876T-M515DA,5,"50,500",1.0
54,MSI Modern 14 B10MW Intel Core i3 10110U 14 Inch FHD IPS Display Carbon Gray Laptop,0,"51,000",
55,HP 15s-eq2334AU AMD Ryzen 3 5300U 15.6 Inch Spruce Blue Laptop #4D8B4PA-2Y,5,"51,000",1.0
56,HP 15s-du3022TU 11th Gen Intel Core i3 1115G4 15.6 Inch Black Laptop #2W2X5PA-2Y,0,"51,000",
57,HP 15s-du3786TU 11th Gen Intel Core i3 1115G4 15.6 Inch Silver Laptop #4D4U3PA-2Y,0,"51,000",
58,HP 15s-du3023TU Intel Core i3 1115G4 15.6 Inch FHD Display Silver Laptop,4,"52,000",8.0
59,Asus 15 X515EA 11th Gen Intel Core i3 1115G4 15.6 Inch FHD Display Peacock Blue Laptop #BQ016T-X515EA,5,"53,000",1.0
60,Asus 15 X515EA 11th Gen Intel Core i3 1115G4 15.6 Inch FHD Display Slate Grey Laptop #BQ1097T-X515EA,5,"53,000",1.0
61,Acer Aspire 5 A514-54-37N8 Intel Core i3 1115G4 14 Inch FHD Display Charcoal Black Laptop,0,"53,500",
62,Asus VivoBook 14 X415EA Intel Core i3 1115G4 14 Inch FHD Display Transparent Silver Laptop #EK682T/EB014T-X415EA,5,"53,500",1.0
